base_currency,currency_code,exchange_rate,retrieved_at
USD,USD,1.0,2026-07-13 00:02:31+00:00
USD,AED,3.6725,2026-07-13 00:02:31+00:00
USD,AFN,65.222208,2026-07-13 00:02:31+00:00
USD,ALL,82.096933,2026-07-13 00:02:31+00:00
USD,AMD,367.251901,2026-07-13 00:02:31+00:00
USD,ANG,1.79,2026-07-13 00:02:31+00:00
USD,AOA,921.874613,2026-07-13 00:02:31+00:00
USD,ARS,1490.9024,2026-07-13 00:02:31+00:00
USD,AUD,1.440982,2026-07-13 00:02:31+00:00
USD,AWG,1.79,2026-07-13 00:02:31+00:00
USD,AZN,1.699568,2026-07-13 00:02:31+00:00
USD,BAM,1.71485,2026-07-13 00:02:31+00:00
USD,BBD,2.0,2026-07-13 00:02:31+00:00
USD,BDT,123.263755,2026-07-13 00:02:31+00:00
USD,BGN,1.71485,2026-07-13 00:02:31+00:00
USD,BHD,0.376,2026-07-13 00:02:31+00:00
USD,BIF,2988.954226,2026-07-13 00:02:31+00:00
USD,BMD,1.0,2026-07-13 00:02:31+00:00
USD,BND,1.292442,2026-07-13 00:02:31+00:00
USD,BOB,10.010534,2026-07-13 00:02:31+00:00
USD,BRL,5.111573,2026-07-13 00:02:31+00:00
USD,BSD,1.0,2026-07-13 00:02:31+00:00
USD,BTN,95.495903,2026-07-13 00:02:31+00:00
USD,BWP,13.788099,2026-07-13 00:02:31+00:00
USD,BYN,2.861896,2026-07-13 00:02:31+00:00
USD,BZD,2.0,2026-07-13 00:02:31+00:00
USD,CAD,1.41652,2026-07-13 00:02:31+00:00
USD,CDF,2288.184574,2026-07-13 00:02:31+00:00
USD,CHF,0.80929,2026-07-13 00:02:31+00:00
USD,CLF,0.023427,2026-07-13 00:02:31+00:00
USD,CLP,925.982638,2026-07-13 00:02:31+00:00
USD,CNH,6.785612,2026-07-13 00:02:31+00:00
USD,CNY,6.77996,2026-07-13 00:02:31+00:00
USD,COP,3276.378067,2026-07-13 00:02:31+00:00
USD,CRC,454.810252,2026-07-13 00:02:31+00:00
USD,CUP,24.0,2026-07-13 00:02:31+00:00
USD,CVE,96.67912,2026-07-13 00:02:31+00:00
USD,CZK,21.261978,2026-07-13 00:02:31+00:00
USD,DJF,177.721,2026-07-13 00:02:31+00:00
USD,DKK,6.541128,2026-07-13 00:02:31+00:00
USD,DOP,58.689505,2026-07-13 00:02:31+00:00
USD,DZD,133.157254,2026-07-13 00:02:31+00:00
USD,EGP,49.812111,2026-07-13 00:02:31+00:00
USD,ERN,15.0,2026-07-13 00:02:31+00:00
USD,ETB,159.536638,2026-07-13 00:02:31+00:00
USD,EUR,0.87679,2026-07-13 00:02:31+00:00
USD,FJD,2.232751,2026-07-13 00:02:31+00:00
USD,FKP,0.746979,2026-07-13 00:02:31+00:00
USD,FOK,6.5416,2026-07-13 00:02:31+00:00
USD,GBP,0.74699,2026-07-13 00:02:31+00:00
USD,GEL,2.631584,2026-07-13 00:02:31+00:00
USD,GGP,0.746979,2026-07-13 00:02:31+00:00
USD,GHS,11.463481,2026-07-13 00:02:31+00:00
USD,GIP,0.746979,2026-07-13 00:02:31+00:00
USD,GMD,74.282527,2026-07-13 00:02:31+00:00
USD,GNF,8788.658589,2026-07-13 00:02:31+00:00
USD,GTQ,7.626214,2026-07-13 00:02:31+00:00
USD,GYD,209.22092,2026-07-13 00:02:31+00:00
USD,HKD,7.83976,2026-07-13 00:02:31+00:00
USD,HNL,26.751911,2026-07-13 00:02:31+00:00
USD,HRK,6.606165,2026-07-13 00:02:31+00:00
USD,HTG,130.780624,2026-07-13 00:02:31+00:00
USD,HUF,312.703317,2026-07-13 00:02:31+00:00
USD,IDR,18071.147428,2026-07-13 00:02:31+00:00
USD,ILS,3.011515,2026-07-13 00:02:31+00:00
USD,IMP,0.746979,2026-07-13 00:02:31+00:00
USD,INR,95.492784,2026-07-13 00:02:31+00:00
USD,IQD,1309.688551,2026-07-13 00:02:31+00:00
USD,IRR,1152906.965652,2026-07-13 00:02:31+00:00
USD,ISK,125.489597,2026-07-13 00:02:31+00:00
USD,JEP,0.746979,2026-07-13 00:02:31+00:00
USD,JMD,158.690138,2026-07-13 00:02:31+00:00
USD,JOD,0.709,2026-07-13 00:02:31+00:00
USD,JPY,161.879691,2026-07-13 00:02:31+00:00
USD,KES,129.182165,2026-07-13 00:02:31+00:00
USD,KGS,87.478026,2026-07-13 00:02:31+00:00
USD,KHR,4047.980216,2026-07-13 00:02:31+00:00
USD,KID,1.440943,2026-07-13 00:02:31+00:00
USD,KMF,431.351826,2026-07-13 00:02:31+00:00
USD,KRW,1501.331727,2026-07-13 00:02:31+00:00
USD,KWD,0.308938,2026-07-13 00:02:31+00:00
USD,KYD,0.833333,2026-07-13 00:02:31+00:00
USD,KZT,471.544404,2026-07-13 00:02:31+00:00
USD,LAK,22350.333962,2026-07-13 00:02:31+00:00
USD,LBP,89500.0,2026-07-13 00:02:31+00:00
USD,LKR,335.295769,2026-07-13 00:02:31+00:00
USD,LRD,181.248657,2026-07-13 00:02:31+00:00
USD,LSL,16.352791,2026-07-13 00:02:31+00:00
USD,LYD,6.396533,2026-07-13 00:02:31+00:00
USD,MAD,9.336804,2026-07-13 00:02:31+00:00
USD,MDL,17.505753,2026-07-13 00:02:31+00:00
USD,MGA,4272.199141,2026-07-13 00:02:31+00:00
USD,MKD,53.92275,2026-07-13 00:02:31+00:00
USD,MMK,2101.655449,2026-07-13 00:02:31+00:00
USD,MNT,3577.268005,2026-07-13 00:02:31+00:00
USD,MOP,8.074905,2026-07-13 00:02:31+00:00
USD,MRU,40.086544,2026-07-13 00:02:31+00:00
USD,MUR,47.053589,2026-07-13 00:02:31+00:00
USD,MVR,15.437878,2026-07-13 00:02:31+00:00
USD,MWK,1740.2922,2026-07-13 00:02:31+00:00
USD,MXN,17.513814,2026-07-13 00:02:31+00:00
USD,MYR,4.069842,2026-07-13 00:02:31+00:00
USD,MZN,63.584712,2026-07-13 00:02:31+00:00
USD,NAD,16.352791,2026-07-13 00:02:31+00:00
USD,NGN,1375.906868,2026-07-13 00:02:31+00:00
USD,NIO,36.77894,2026-07-13 00:02:31+00:00
USD,NOK,9.778804,2026-07-13 00:02:31+00:00
USD,NPR,152.793445,2026-07-13 00:02:31+00:00
USD,NZD,1.73683,2026-07-13 00:02:31+00:00
USD,OMR,0.384497,2026-07-13 00:02:31+00:00
USD,PAB,1.0,2026-07-13 00:02:31+00:00
USD,PEN,3.394858,2026-07-13 00:02:31+00:00
USD,PGK,4.426063,2026-07-13 00:02:31+00:00
USD,PHP,61.551685,2026-07-13 00:02:31+00:00
USD,PKR,278.044182,2026-07-13 00:02:31+00:00
USD,PLN,3.802326,2026-07-13 00:02:31+00:00
USD,PYG,6061.444415,2026-07-13 00:02:31+00:00
USD,QAR,3.64,2026-07-13 00:02:31+00:00
USD,RON,4.578942,2026-07-13 00:02:31+00:00
USD,RSD,102.653508,2026-07-13 00:02:31+00:00
USD,RUB,76.76121,2026-07-13 00:02:31+00:00
USD,RWF,1467.372158,2026-07-13 00:02:31+00:00
USD,SAR,3.75,2026-07-13 00:02:31+00:00
USD,SBD,7.974259,2026-07-13 00:02:31+00:00
USD,SCR,14.660914,2026-07-13 00:02:31+00:00
USD,SDG,458.890393,2026-07-13 00:02:31+00:00
USD,SEK,9.676007,2026-07-13 00:02:31+00:00
USD,SGD,1.292444,2026-07-13 00:02:31+00:00
USD,SHP,0.746979,2026-07-13 00:02:31+00:00
USD,SLE,24.328197,2026-07-13 00:02:31+00:00
USD,SLL,24328.196854,2026-07-13 00:02:31+00:00
USD,SOS,572.021989,2026-07-13 00:02:31+00:00
USD,SRD,37.708744,2026-07-13 00:02:31+00:00
USD,SSP,4784.011977,2026-07-13 00:02:31+00:00
USD,STN,21.481326,2026-07-13 00:02:31+00:00
USD,SYP,121.604348,2026-07-13 00:02:31+00:00
USD,SZL,16.352791,2026-07-13 00:02:31+00:00
USD,THB,33.340175,2026-07-13 00:02:31+00:00
USD,TJS,9.238105,2026-07-13 00:02:31+00:00
